Year,Month,Day,DJIAPercentChange
1996,5,28,-0.923146333
1996,5,29,-0.628754576
1996,5,30,0.345447496
1996,5,31,-0.881722696
1996,6,3,-0.327828183
1996,6,4,0.728927765
1996,6,5,0.561272217
1996,6,6,-0.531812198
1996,6,7,0.527597403
1996,6,10,-0.161485668
1996,6,11,-0.337558677
1996,6,12,-0.007056292
1996,6,13,-0.18171233
1996,6,14,-0.150229763
1996,6,17,0.058412249
1996,6,18,-0.438720634
1996,6,19,0.362473348
1996,6,20,0.194745415
1996,6,21,0.809273068
1996,6,24,0.220851153
1996,6,25,0.026233866
1996,6,26,-0.639938454
1996,6,27,-0.091505798
1996,6,28,-0.403346543
1996,7,1,1.333427652
1996,7,2,-0.167539267
1996,7,3,-0.304174533
1996,7,5,-1.228436086
1996,7,8,-0.667489844
1996,7,9,0.560279599
1996,7,10,0.390548021
1996,7,11,-1.424923665
1996,7,12,-0.179331582
1996,7,15,-2.923456611
1996,7,16,0.173848023
1996,7,17,0.337762186
1996,7,18,1.623612119
1996,7,19,-0.684455181
1996,7,22,-0.661531658
1996,7,23,-0.82175518
1996,7,24,0.151498148
1996,7,25,1.236043168
1996,7,26,0.942456658
1996,7,29,-0.703440463
1996,7,30,0.870349244
1996,7,31,0.857366971
1996,8,1,1.191918827
1996,8,2,1.399650087
1996,8,5,-0.096834396
1996,8,6,0.384188358
1996,8,7,0.396762697
1996,8,8,-0.090929757
1996,8,9,-0.563577492
1996,8,12,0.417158045
1996,8,13,0.519748669
1996,8,14,0.347068511
1996,8,15,-0.019410965
1996,8,16,0.418299269
1996,8,19,0.174004746
1996,8,20,0.384250974
1996,8,21,-0.55057417
1996,8,22,0.768041056
1996,8,23,-0.188366617
1996,8,26,-0.503258951
1996,8,27,0.305590193
1996,8,28,0.019260063
1996,8,29,-1.132623766
1996,8,30,-0.557749172
1996,9,3,0.573341405
1996,9,4,0.150485093
1996,9,5,-0.882108575
1996,9,6,0.943463528
1996,9,9,1.266314618
1996,9,10,-0.11510691
1996,9,11,0.483656935
1996,9,12,0.295400441
1996,9,13,0.895156134
1996,9,16,0.868373726
1996,9,17,-0.006792094
1996,9,18,-0.193587828
1996,9,19,-0.165038963
1996,9,20,0.354483017
1996,9,23,0.105289972
1996,9,24,-0.351162909
1996,9,25,0.057882193
1996,9,26,-0.144621772
1996,9,27,0.068155872
1996,9,30,0.632998015
1996,10,1,0.385910034
1996,10,2,0.492811055
1996,10,3,-0.018537243
1996,10,4,1.011309815
1996,10,7,-0.218592001
1996,10,8,-0.217398575
1996,10,9,-0.606690353
1996,10,10,-0.150069133
1996,10,11,0.805511931
1996,10,14,0.680135357
1996,10,15,-0.086522463
1996,10,16,0.266453504
1996,10,17,0.637788998
1996,10,18,0.577634011
1996,10,21,-0.054149847
1996,10,22,-0.477761907
1996,10,23,-0.417367779
1996,10,24,-0.728899197
1996,10,25,0.241969128
1996,10,28,-0.571000499
1996,10,29,0.574279639
1996,10,30,-0.229731979
1996,10,31,0.604017887
1996,11,1,-0.124390487
1996,11,4,0.32879988
1996,11,5,0.653789496
1996,11,6,1.586857857
1996,11,7,0.458099293
1996,11,8,0.222365453
1996,11,11,0.575581208
1996,11,12,0.166251039
1996,11,13,0.130864986
1996,11,14,0.618405534
1996,11,15,0.554411532
1996,11,18,-0.017328292
1996,11,19,0.79881517
1996,11,20,0.506439915
1996,11,21,-0.178849145
1996,11,22,0.83041209
1996,11,25,1.174325535
1996,11,26,-0.296282721
1996,11,27,-0.445744746
1996,11,29,0.344652501
1996,12,2,0
1996,12,3,-1.211340601
1996,12,4,-0.307324569
1996,12,5,0.221083934
1996,12,6,-0.857529012
1996,12,9,1.284883812
1996,12,10,0.145423042
1996,12,11,-0.857864012
1996,12,12,-1.543147208
1996,12,13,0.019036439
1996,12,16,-0.578914812
1996,12,17,0.636526067
1996,12,18,0.610307056
1996,12,19,1.911148893
1996,12,20,0.166831438
1996,12,23,0.070939486
1996,12,24,0.522422561
1996,12,26,0.364868387
1996,12,27,0.216903173
1996,12,30,-0.17528083
1996,12,31,-1.543652854
1997,1,2,-0.089946187
1997,1,3,1.577027551
1997,1,6,0.352989716
1997,1,7,0.510110854
1997,1,8,-0.775675307
1997,1,9,1.163447591
1997,1,10,1.178743378
1997,1,13,0.080551329
1997,1,14,0.791450546
1997,1,15,-0.523490528
1997,1,16,0.572329007
1997,1,17,1.00067993
1997,1,20,0.158054177
1997,1,21,0.584462076
1997,1,22,-0.492453406
1997,1,23,-1.375182482
1997,1,24,-0.877764291
1997,1,27,-0.534607631
1997,1,28,-0.06906181
1997,1,29,1.271014558
1997,1,30,1.234293174
1997,1,31,-0.158267267
1997,2,3,-0.101275484
